fips,name,pop2010,pop2020,pctchg
2900045848,Marble Hill,1492,1464,-1.88
600046828,Mendota,11306,11511,1.81
100057144,Orange Beach,5439,6235,14.64
5400054892,Mitchell Heights town,323,273,-15.48
2700039320,Madison Lake,1024,1174,14.65
4500039895,Lancaster,8674,9119,5.13
4700059560,Pleasant View,4146,4795,15.65
2600049540,Lowell,3788,4171,10.11
2700035648,La Prairie,665,660,-0.75
2600071560,Sanford village,864,844,-2.31
3600050617,New Rochelle,77115,78557,1.87
4600049600,Pierre,13646,13867,1.62
2400049950,Manchester town,4813,4851,0.79
3700039360,Louisburg town,3414,3619,6
4800049728,Mount Enterprise,447,436,-2.46
1800048240,Medora town,710,696,-1.97
4700041340,Lawrenceburg,10506,11035,5.04
2900063902,Saginaw village,297,302,1.68
4800035000,Houston,2095517,2320268,10.73
4100044300,Lyons,1161,1290,11.11
600065028,San Bruno,41109,42807,4.13
